system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.9990697674418605,0.9998138149320425,0.9994416527079844,0.9997115661955581,0.9994232987312572,0.9995674116798846,0.9996221186547424,0.9992445227902291,0.999433285057616,0.9994678174307202,0.999493878817843,0.999480783148495
baseline,dev,0.5931899641577061,0.5444078947368421,0.5677530017152659,0.5333333333333333,0.44878048780487806,0.48741721854304637,0.5571725571725572,0.6328217237308147,0.5925925925925926,0.5612319515545322,0.5420033687575115,0.5492542709503015
baseline,test,0.5891156462585034,0.5792642140468227,0.5841483979763912,0.5193434935521688,0.45670103092783504,0.48601206801974767,0.5852928601966653,0.623122439690487,0.6036155202821869,0.5645840000024458,0.553029228221715,0.5579253287594419
improved,train,0.7945600659385946,0.7179296220443121,0.7543035993740219,0.8186991869918699,0.5807381776239908,0.6794871794871795,0.7170468948035488,0.8548224628557038,0.7798966111430212,0.7767687159113378,0.7178300875080023,0.7378957966680743
improved,dev,0.690522243713733,0.587171052631579,0.6346666666666667,0.608843537414966,0.43658536585365854,0.5085227272727273,0.5986717267552182,0.7449822904368358,0.6638611257233035,0.6326791692946391,0.5895795696406911,0.6023501732208991
improved,test,0.6978922716627635,0.5979933110367893,0.6440922190201729,0.625544267053701,0.44432989690721647,0.5195901145268234,0.6222139673105498,0.7624032771961766,0.6852116997340969,0.6485501686756714,0.6015754950467275,0.6162980110936978
