Word,Mutual Information,Chi-Squared
,0.003961055870023629,233.83798372538692
afraid,0.00030688795244445256,14.370647486312889
drunk,0.00017761802426946474,5.554634019359735
zealou,4.0382014036631036e-05,1.3519801097539805
obstin,2.450002088452915e-05,1.3495477080329827
fellow prison,0.0,0.0
oppos,0.00012553586351340178,6.777189998840213
wither,0.00010877136044208988,3.6745759620365557
accumul,0.00022416345021682277,13.257442426953503
green,6.430288658840365e-06,0.2822875106758774
falsehood,0.0025220767628873196,150.1516817531253
ring,0.00024931809675698925,7.10692064845307
keeper,5.058529474009967e-05,2.4108023746301437
righteou,0.00019876485908977418,9.087652456540672
copi,2.826874402651677e-05,0.9735562545369912
handcuf,0.0,0.0
defraud,8.042812846577392e-05,4.70891557280032
ate up,0.0,0.0
prevent,0.002703670165133778,155.01164610752355
reason,0.0006548517757541572,33.68598611931725
ignorantli,2.450002088452915e-05,1.3495477080329827
bend,1.256712745958182e-05,0.45756107559394205
childless,3.881105547848143e-05,1.983684605312384
signific,0.0,0.0
smite,2.450002088452915e-05,1.3495477080329827
egypt,0.0039000198725291854,99.57191138287756
cain,4.679682551949874e-05,1.5476554023232985
contract,0.0,0.0
gap,2.3440543468847923e-07,0.01010468149706805
hidden,0.0001273909303183791,4.606636353209425
child,0.0005248853641040847,16.882534478236302
studi,0.00014854301573525533,8.387150493326086
predestin,1.8444280314829374e-05,0.9130051532489797
dust,1.3649029754922733e-06,0.05815369208288619
guid,0.007246825088750623,431.79664089982697
atom ,0.0,0.0
fish,4.64718627577229e-05,1.7524774863623651
nobli,0.0,0.0
afford,0.00012254235272626118,6.749516776101314
breez,0.0,0.0
skill,1.0016924492343851e-06,0.04290071684158705
husk,0.0,0.0
endur,0.0005552391320487142,16.687466865951716
decor,2.450002088452915e-05,1.3495477080329827
dull,1.0502333982178538e-05,0.49838731592457064
successor,0.0,0.0
sheep,0.0007944925526056337,23.599704018323415
aloft,0.0,0.0
extrem,0.00018125845676948563,10.49000152771515
life,0.0035411535899360367,181.74921592031058
abid,0.00025778069275687274,7.327197169169334
movement,2.450002088452915e-05,1.3495477080329827
divorc,0.00014985778736184221,7.515874495489576
sake,0.0004854868310519213,15.53674873766364
snort,9.221068698106227e-06,0.4564574736166558
code,8.042812846577392e-05,4.70891557280032
abraham ,2.0699867449088376e-05,0.7623728913562023
appear,0.00042255054504325114,13.687186946481766
intend,8.069749242330166e-06,0.315732317410553
manner,1.328011320128047e-07,0.005613685922516657
being ,0.0,0.0
benevol,0.0,0.0
eram,0.0,0.0
brocad,0.0,0.0
smother,0.0,0.0
uncleanli,0.0,0.0
eye sight,0.0,0.0
stronger,2.5550915785241935e-05,1.1971308250478236
limb,2.3440543468847923e-07,0.01010468149706805
unreason,4.900426538896462e-05,2.699273204520075
dhil hajj,0.0,0.0
examin,0.00012736576338214496,4.102720545636235
chang,0.0004765513383861238,24.539326905245296
arrow,0.00018766674533140593,6.055706107618553
date,0.0,0.0
call,0.00024036234763900183,9.516481097134298
male,7.96858019197124e-05,3.0914244023325756
bank,8.069749242330166e-06,0.315732317410553
disdain,8.378690802784968e-05,4.404698684301979
explain,0.0006383763738760511,35.146113145801074
defec,0.0,0.0
unknowingli,0.0,0.0
stretch,0.00045217407992522514,14.127829207349308
thought,5.175246590410286e-06,0.2230744446411595
honor,9.812212471865768e-05,4.438506004237899
bind,6.652147851936456e-05,2.4408429610730744
youth,9.274448811292781e-05,3.367139540731783
christian,0.0006419266135053557,38.317578233110076
decis,0.0003844796163228572,22.150983748872775
possibl,8.042812846577392e-05,4.70891557280032
complain,5.795864305099185e-07,0.02477028088490361
michael,4.0382014036631036e-05,1.3519801097539805
ingratitud,0.0,0.0
monast,0.0,0.0
interest,0.0003050846502567086,17.512486247690664
ra ,0.0,0.0
resourc,2.450002088452915e-05,1.3495477080329827
impos,0.00015469023188029215,8.27015565275828
mouth,0.002222354061018253,63.02357911395713
cultiv,2.657930447903222e-06,0.12162509180387339
dead,0.00024382500251922607,9.15686126123946
sparkl,9.221068698106227e-06,0.4564574736166558
stood,0.0018230377094951237,50.500772685457136
up right,0.0,0.0
entitl,0.0,0.0
advis,0.00022296043714269194,12.131437067141855
permit,2.8375888963815427e-06,0.12325708373485031
evert,0.0,0.0
misde,0.0,0.0
leadership,0.0,0.0
feel,0.0008495762990185297,49.98876450291428
brother,0.00014539747745450856,5.741817948516812
greediest,0.0,0.0
contradict,2.4920287720308487e-07,0.010247616633213767
normal,0.0,0.0
elia,0.0,0.0
conjectur,0.0,0.0
incit,3.04354798404692e-05,1.5828345675413198
lend,2.826874402651677e-05,0.9735562545369912
wood,0.0009207929928412551,23.844706535126182
wors,2.3002689178007327e-05,1.0629578759750207
inscript,8.274475510835408e-06,0.30849441751980394
trumpet,4.131687260504403e-05,1.6118304318561056
domin,0.0,0.0
self evid,0.0,0.0
benefici,0.0,0.0
cycl,0.0,0.0
modest,0.0,0.0
latter ,0.0,0.0
triniti,0.0,0.0
eve,2.3440543468847923e-07,0.01010468149706805
wild beast,0.0,0.0
dispos,8.042812846577392e-05,4.70891557280032
bondsman,0.0,0.0
hire,0.00019248320851256525,5.976039922515886
sacrifici,0.0004278510586691233,25.540844715251993
pursu,0.00020382449990445357,7.079566301824759
nich,0.0,0.0
higher,4.612678038799831e-05,2.28318969571958
immov,9.221068698106227e-06,0.4564574736166558
burden,2.8829663446885528e-05,1.2870067117471549
publicli,2.450002088452915e-05,1.3495477080329827
siriu,0.0,0.0
condemn,0.0007804293019785923,41.03337019078675
permiss,0.0019991866283632868,119.29377581142177
