Word,Mutual Information,Chi-Squared
brought,0.0014602949544430229,58.544629105682596
chamber,0.0014589645081230659,43.220008404333896
jehoshaphat,0.0014589645081230659,43.220008404333896
injustic,0.0014408375262179524,57.90665137753686
remnant,0.001434886134424241,44.08247231604454
esau,0.0014291339757535268,45.024256307388754
egyptian,0.0014229296437580862,46.420835791072285
love,0.0014191399821440777,61.27703637298462
assembl,0.0014104164282360283,50.906402679868926
question,0.0014033912021440174,56.47267614110424
sacrific,0.0014030933987955897,52.710543132529764
news,0.0013924541209387829,59.06449467349158
donkey,0.0013879376729867476,48.2834529312483
livestock,0.0013875773416095734,41.196400460928956
east,0.001379665238257424,49.17913703339058
arm,0.0013775731733633614,47.654390294496764
submit,0.0013692991045374788,54.75651352359153
leader,0.0013682944732120155,48.38946518260763
terribl,0.001367684053303509,57.5795758886249
fine,0.0013576688910389898,47.01361276007454
recompens,0.0013553164980891225,56.79531805758171
testifi,0.001352336289121434,56.86749462848024
whomev,0.0013520585015084263,55.82027532171381
greet,0.0013520585015084263,55.82027532171381
awar,0.0013500055256371439,52.94440385502282
the,0.0013416946594778816,57.918636854867806
fifti,0.0013320658387099308,44.71906784792861
battl,0.0013299779449294743,48.82519383444303
thank,0.0013288348481576377,53.61108133118804
decid,0.0013235632817201362,48.72641222677046
territori,0.0013162994721075526,39.173454680004056
lion,0.0013082782958270798,45.11509342870068
father,0.0013028383223663955,53.12359692182978
etern,0.0012937242622518218,51.876906021366025
stori,0.0012937242622518218,51.876906021366025
reuben,0.0012925661262717949,38.49929309366344
knowledg,0.0012923089380085543,55.802090386004174
break,0.0012904627876817042,47.22934752044869
virtuou,0.0012815607173565268,47.23953893204111
betray,0.0012769823502833645,48.528895872043506
lose,0.0012769823502833645,48.528895872043506
deserv,0.0012702375163658115,52.88278737809266
then,0.0012669513957750031,53.76800498003074
ten,0.001265696783361002,46.70613044867394
cover,0.0012635757696221773,47.84379589805215
invent,0.0012494285602865389,48.485182442191515
think,0.0012494285602865389,48.485182442191515
syrian,0.0012451407171506306,37.15121008617919
go,0.0012403557074430645,47.99274265967061
result,0.0012396004282319286,45.752958075410284
all,0.0012346492175561996,53.2768618034984
sail,0.0012327079672483487,48.564546142983616
town,0.0012316202710651477,52.20007960377776
favor,0.0012203359626247823,52.685264014259225
subject,0.001209627217068131,47.01648583665143
shield,0.0012036323299997693,37.362099100757675
eye,0.0011994737232919488,47.83964719818765
crowd,0.0011976848357647804,44.266687300229876
inherit,0.0011928003353820584,45.58250376020388
daniel,0.0011806296822751167,36.690893552216636
firstborn,0.0011791004907032612,40.65292200962074
fled,0.0011787781293619041,42.28274457665285
devour,0.0011649921589865614,41.450814371824876
possess,0.0011592504646514997,43.97528809710212
share,0.001150604387578246,48.185964659080675
way,0.0011341470255265772,44.355529147134504
happi,0.0011311813365501454,47.67335212502106
broken,0.0011284732748330776,41.29696169916533
length,0.0011268391277357765,33.78249367865847
brook,0.0011268391277357765,33.78249367865847
